,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.58,0.23,0.34,2,23
1,0.0,4.92,4.57,0.33,23,32
2,0.0,6.13,5.74,0.37,33,33
3,0.0,8.03,7.65,0.36,34,29
4,0.0,6.3,5.96,0.33,30,24
5,0.0,2.93,2.89,0.02,24,23
6,0.05,0.07,0.04,0.02,1,19
7,0.07,0.08,0.05,0.02,1,15
8,0.14,0.31,0.27,0.03,2,7
9,1.0,0.29,0.26,0.04,2,1
10,0.0,0.74,0.48,0.25,2,21
11,0.0,4.47,4.44,0.02,21,20
12,0.0,0.47,0.44,0.02,3,18
13,0.0,0.39,0.37,0.02,2,17
14,0.07,0.44,0.42,0.02,2,14
15,2.0,0.64,0.61,0.02,3,1
16,0.0,0.76,0.41,0.34,2,26
17,0.0,3.49,3.47,0.02,26,19
18,0.07,0.78,0.73,0.04,4,15
19,0.0,0.03,0.0,0.02,0,15
20,0.08,0.38,0.35,0.02,2,13
21,0.0,0.39,0.35,0.03,3,11
22,2.0,0.26,0.24,0.02,2,1
23,0.0,0.62,0.41,0.2,2,18
24,0.0,4.1,4.07,0.02,18,18
25,0.0,0.69,0.64,0.04,4,15
26,0.0,0.29,0.26,0.02,1,15
27,0.0,0.56,0.53,0.02,2,14
28,0.0,0.25,0.22,0.02,1,15
29,0.08,0.5,0.47,0.02,3,12
30,3.0,0.53,0.47,0.05,3,1
31,0.0,0.61,0.42,0.18,2,17
32,1.0,2.65,2.61,0.04,18,1
33,0.0,0.55,0.22,0.32,1,26
34,0.33,3.19,3.17,0.02,26,3
35,0.0,0.92,0.58,0.34,3,27
36,0.0,4.31,4.27,0.02,27,19
37,0.0,0.59,0.56,0.02,3,17
38,0.07,0.37,0.34,0.02,2,15
39,0.0,0.66,0.62,0.03,3,13
40,2.0,0.25,0.22,0.03,2,1
41,0.0,0.6,0.36,0.23,2,18
42,0.0,3.73,3.69,0.03,19,15
43,0.07,0.22,0.19,0.02,1,14
44,2.0,0.64,0.58,0.05,3,1
45,0.0,0.67,0.45,0.21,2,16
46,1.0,3.19,3.16,0.03,17,1
47,0.0,0.52,0.21,0.3,1,27
48,0.0,3.69,3.66,0.02,27,16
49,0.0,0.6,0.57,0.02,3,14
50,1.0,0.33,0.27,0.05,3,1
51,0.0,0.71,0.54,0.17,2,14
52,0.1,4.29,4.23,0.04,15,10
