,connected,z_0,z_1,z_2
0,0,-0.0,-2880.8576139457778,-2101.3875081997635
0,1,-0.0,-3671.8000817952,-705.0993990777802
1,1,-0.0,-3671.7323880590898,-706.4098159613418
2,1,-0.0,-3671.3685152634685,-709.5777649262996
3,1,-0.0,-3670.686599984391,-714.0878599885577
4,1,-0.0,-3668.2330960214326,-725.8252253698388
5,1,-0.0,-3666.238588442316,-734.8422002591255
6,1,-0.0,-3665.8946894199075,-736.1870893188348
7,1,-0.0,-3665.5918737217467,-737.1835312438593
8,1,-0.0,-3665.0294503682794,-738.7769991819955
9,1,-0.0,-3663.770383251072,-741.8789472022831
10,1,-0.0,-3662.3229423504404,-744.6672201499473
11,1,-0.0,-3661.76512623155,-745.7218040397106
12,1,-0.0,-3659.9191690000557,-748.5288293558374
13,1,-0.0,-3658.5765527308226,-750.4556817669632
14,1,-0.0,-3656.688118855121,-752.7507009371425
15,1,-0.0,-3653.905453183814,-755.8729476495841
16,1,-0.0,-3652.5307626134895,-757.3048775365701
17,1,-0.0,-3651.6149061968704,-758.1495685060049
18,1,-0.0,-3648.699979281348,-760.3362712151179
19,0,-0.0,-3647.8000817952,-760.9840702961851
20,1,-0.0,-3647.8000817952,-782.0993990777802
21,0,-0.0,-3647.785362737202,-782.4072872701568
22,1,-0.0,-3647.783124023232,-782.4496542097336
23,1,-0.0,-3647.7323880590898,-783.4098159613418
24,1,-0.0,-3647.3685152634685,-786.5777649262996
25,1,-0.0,-3646.686599984391,-791.0878599885577
26,1,-0.0,-3644.3291539747556,-802.3760281645996
27,1,-0.0,-3642.742675970641,-809.6334640831578
28,0,-0.0,-3642.6054563217144,-810.2085052873304
29,1,-0.0,-3642.6054563217144,-843.3409105775295
30,0,-0.0,-3642.3411742549747,-844.6070747848212
31,1,-0.0,-3642.332051566396,-844.650063722273
32,1,-0.0,-3641.2330960214326,-849.8252253698388
33,1,-0.0,-3639.238588442316,-858.8422002591255
34,1,-0.0,-3638.8946894199075,-860.1870893188348
35,1,-0.0,-3638.5245009868345,-861.396556719767
36,0,-0.0,-3637.9174056739917,-863.0021504220645
37,1,-0.0,-3637.900264816151,-863.0453233102721
38,1,-0.0,-3636.659320958946,-866.0884570806825
39,1,-0.0,-3634.8632735413744,-869.5372146441018
40,1,-0.0,-3632.9191690000557,-872.5288293558374
41,1,-0.0,-3631.2189693722025,-874.9005862546769
42,1,-0.0,-3629.688118855121,-876.7507009371425
43,1,-0.0,-3627.185384952109,-879.5674174995124
44,1,-0.0,-3625.5307626134895,-881.3048775365701
45,1,-0.0,-3624.6149061968704,-882.1495685060049
46,0,-0.0,-3623.8000817952,-882.7797600288181
47,1,-0.0,-3623.8000817952,-978.0993990777802
48,1,-0.0,-3623.7323880590898,-979.4098159613418
49,1,-0.0,-3623.3685152634685,-982.5777649262996
50,1,-0.0,-3622.686599984391,-987.0878599885577
51,1,-0.0,-3620.3291539747556,-998.3760281645996
52,1,-0.0,-3618.742675970641,-1005.6334640831578
53,1,-0.0,-3617.8946894199075,-1009.1870893188348
54,1,-0.0,-3617.256657827102,-1011.1476718761674
55,1,-0.0,-3615.659320958946,-1015.0884570806825
56,1,-0.0,-3613.76512623155,-1018.7218040397106
57,1,-0.0,-3611.9191690000557,-1021.5288293558374
58,1,-0.0,-3610.2189693722025,-1023.9005862546769
59,1,-0.0,-3608.688118855121,-1025.7507009371425
60,1,-0.0,-3605.905453183814,-1028.8729476495841
61,1,-0.0,-3604.5307626134895,-1030.30487753657
62,1,-0.0,-3603.6149061968704,-1031.149568506005
63,1,-0.0,-3600.699979281348,-1033.336271215118
64,1,-0.0,-3598.362168930555,-1035.0191644560305
65,1,-0.0,-3597.2273106006337,-1035.7882441899014
66,1,-0.0,-3594.1465878279173,-1037.632666339458
67,1,-0.0,-3591.388419065576,-1039.14068755962
68,1,-0.0,-3589.5560993589856,-1040.0973737414874
69,1,-0.0,-3588.6474780444955,-1040.4869899424525
70,1,-0.0,-3586.516972476504,-1041.3180542670239
71,0,-0.0,-3584.6970068991955,-1041.9539375939326
72,1,-0.0,-3584.6970068991955,-1042.0220862696465
73,0,-0.0,-3583.9727836120687,-1045.556286848087
74,1,-0.0,-3583.963521630995,-1045.6012852776598
75,0,-0.0,-3581.934118604137,-1055.1909541962527
76,1,-0.0,-3581.924246717804,-1055.2360489724983
77,1,-0.0,-3580.238588442316,-1062.8422002591255
78,1,-0.0,-3579.8946894199075,-1064.1870893188348
79,1,-0.0,-3579.256657827102,-1066.1476718761674
80,1,-0.0,-3577.659320958946,-1070.0884570806825
81,1,-0.0,-3575.76512623155,-1073.7218040397106
82,1,-0.0,-3573.9191690000557,-1076.5288293558374
83,1,-0.0,-3572.2189693722025,-1078.900586254677
84,1,-0.0,-3570.688118855121,-1080.7507009371425
85,0,-0.0,-3568.8000817952,-1082.8691435384549
86,1,-0.0,-3568.8000817952,-1112.0993990777802
87,1,-0.0,-3568.7323880590898,-1113.4098159613418
88,1,-0.0,-3568.499072697931,-1115.4808875501562
89,1,-0.0,-3568.2621224644386,-1117.2787775465818
90,0,-0.0,-3567.916701208705,-1119.4134818615744
91,1,-0.0,-3567.9084046267058,-1119.4592188630972
92,1,-0.0,-3567.669280874107,-1120.74054335571
93,1,-0.0,-3567.441696920889,-1121.7389222183888
94,1,-0.0,-3565.6792873256886,-1129.1178248192305
95,1,-0.0,-3564.6872107129543,-1132.350961468695
96,1,-0.0,-3563.159830490587,-1136.8362935238606
97,1,-0.0,-3561.929142890978,-1140.192638106108
98,1,-0.0,-3559.2161926822914,-1146.805537616026
99,1,-0.0,-3558.2022349289296,-1149.0648555486864
100,1,-0.0,-3557.634554361967,-1150.197072000145
101,1,-0.0,-3556.511025569272,-1152.2921371765556
102,1,-0.0,-3555.7773787031097,-1153.5220135509012
103,1,-0.0,-3553.9857888867114,-1156.3054263786166
104,1,-0.0,-3553.1462483667597,-1157.3048378418475
105,1,-0.0,-3549.9770109113256,-1160.9067723659632
106,1,-0.0,-3547.022517977994,-1164.1152312134222
107,1,-0.0,-3546.7978329381335,-1164.3315226892614
108,1,-0.0,-3544.690084741362,-1166.0169498218215
109,0,-0.0,-3544.3713337333443,-1166.2591384925267
110,1,-0.0,-3544.3713337333443,-1166.355459415507
111,0,-0.0,-3543.7067082529225,-1167.9748148621607
112,1,-0.0,-3543.6874340371673,-1168.0210374770136
113,0,-0.0,-3543.0211348734606,-1169.3146696648823
114,1,-0.0,-3542.9970711990395,-1169.360905678283
115,0,-0.0,-3541.8000817952,-1171.6548152251748
116,1,-0.0,-3541.8000817952,-1182.0993990777802
117,1,-0.0,-3541.7323880590898,-1183.4098159613418
118,1,-0.0,-3541.6267710054367,-1184.4080311091925
119,1,-0.0,-3541.2621224644386,-1187.2787775465818
120,0,-0.0,-3541.01267388975,-1188.8844082432074
121,1,-0.0,-3541.0042512891628,-1188.9308399539937
122,1,-0.0,-3540.7367017793035,-1190.4057741303855
123,1,-0.0,-3540.51123996236,-1191.4345704573093
124,1,-0.0,-3538.6792873256886,-1199.1178248192305
