,z_0,z_1,z_2,connected
0,-0.0,-453.14752951650166,-193.07113635881893,1.0
1,-0.0,-452.88773713078035,-198.24782368037023,1.0
2,-0.0,-448.63537888669964,-209.58744566458535,1.0
3,-0.0,-435.3155775275013,-223.9927972760608,1.0
4,-0.0,-434.592678336374,-224.74850472253644,1.0
5,-0.0,-425.4312073062074,-229.2901878526879,1.0
6,-0.0,-418.487510132818,-231.9073081000186,1.0
7,-0.0,-408.6948057616762,-235.5795722391968,1.0
8,-0.0,-397.0412744388125,-237.0963070238957,0.0
9,-0.0,-359.2998283061662,-300.10146893613404,1.0
10,-0.0,-359.2580385447592,-300.93418205605593,1.0
11,-0.0,-354.26919980336675,-314.2377520331025,1.0
12,-0.0,-352.1265992061893,-316.554972397953,1.0
13,-0.0,-337.592678336374,-331.74850472253644,1.0
14,-0.0,-328.4312073062074,-336.2901878526879,1.0
15,-0.0,-321.487510132818,-338.9073081000186,1.0
16,-0.0,-311.6948057616762,-342.5795722391968,1.0
17,-0.0,-300.0412744388125,-344.0963070238957,0.0
18,-0.0,-200.3929889664447,-344.1034656082383,1.0
19,-0.0,-191.00631526150198,-353.04811682093833,1.0
20,-0.0,-189.2362266112267,-354.4883056133056,1.0
21,-0.0,-184.86203986614294,-356.14185945002174,1.0
22,-0.0,-177.2998283061662,-358.9776887850131,0.0
23,-0.0,-177.2998283061662,-426.10146893613404,1.0
24,-0.0,-177.2580385447592,-426.93418205605593,1.0
25,-0.0,-172.26919980336675,-440.2377520331025,1.0
26,-0.0,-170.12659920618933,-442.554972397953,1.0
27,-0.0,-155.59267833637398,-457.74850472253644,1.0
28,-0.0,-146.4312073062074,-462.2901878526879,1.0
29,-0.0,-139.487510132818,-464.9073081000186,1.0
30,-0.0,-129.6948057616762,-468.5795722391968,1.0
31,-0.0,-124.23712225181089,-469.2899027127632,0.0
32,-0.0,-124.23712225181089,-469.2990829214669,1.0
33,-0.0,-120.17665616536488,-473.16833991770494,0.0
34,-0.0,-120.16778931699946,-473.1767892223765,1.0
35,-0.0,-114.00631526150198,-479.04811682093833,1.0
36,-0.0,-112.2362266112267,-480.4883056133056,1.0
37,-0.0,-107.86203986614294,-482.14185945002174,1.0
38,-0.0,-98.69480576167621,-485.5795722391968,1.0
39,-0.0,-87.04127443881248,-487.0963070238957,0.0
40,-0.0,-80.20834582820305,-487.10489560823834,1.0
41,-0.0,-79.59267833637398,-487.74850472253644,1.0
42,-0.0,-70.4312073062074,-492.2901878526879,1.0
43,-0.0,-63.48751013281799,-494.9073081000186,1.0
44,-0.0,-53.69480576167621,-498.5795722391968,1.0
45,-0.0,-42.04127443881242,-500.0963070238957,0.0
46,-0.0,58.62714052731724,-550.0733045664583,1.0
47,-0.0,63.29008326886492,-562.5078185439188,1.0
48,-0.0,87.99368473849808,-586.0481168209383,1.0
49,-0.0,89.76377338877342,-587.4883056133056,1.0
50,-0.0,94.13796013385712,-589.1418594500217,1.0
51,-0.0,103.30519423832385,-592.5795722391968,1.0
52,-0.0,114.95872556118758,-594.0963070238956,0.0
53,-0.0,121.79267771885623,-594.1059656082384,1.0
54,-0.0,122.40732166362608,-594.7485047225364,1.0
55,-0.0,131.56879269379272,-599.290187852688,1.0
56,-0.0,138.51248986718213,-601.9073081000186,1.0
57,-0.0,148.30519423832385,-605.5795722391968,1.0
58,-0.0,153.76410311139693,-606.2900621966955,0.0
59,-0.0,153.76410311139693,-606.3002505817954,1.0
60,-0.0,158.72504049605334,-611.0275752964521,0.0
61,-0.0,158.73535406338976,-611.0374031934775,1.0
62,-0.0,163.99368473849808,-616.0481168209383,1.0
63,-0.0,165.76377338877342,-617.4883056133056,1.0
64,-0.0,170.13796013385712,-619.1418594500217,1.0
65,-0.0,179.30519423832385,-622.5795722391968,1.0
66,-0.0,190.95872556118758,-624.0963070238956,0.0
67,-0.0,408.6151660217946,-624.1062656082383,1.0
68,-0.0,412.4855521606286,-625.5576604103012,1.0
69,-0.0,416.53511947863865,-626.0847212165097,0.0
