,z_0,z_1,z_2,connected
0,1673.0,314.0884641583002,-180.5348570911833,1.0
1,1673.0,313.99696233759914,-179.8605476075877,1.0
2,1673.0,313.89505712547043,-179.4146458098985,1.0
3,1673.0,311.33871554806046,-169.9113299855244,1.0
4,1673.0,310.9247740315186,-168.7251025529108,1.0
5,1673.0,309.50105621022294,-165.6757295590819,1.0
6,1673.0,307.72104048076426,-163.4868970621926,1.0
7,1673.0,305.8093270002555,-162.4274200536322,1.0
8,1673.0,304.0254947781368,-161.7908851418931,1.0
9,1673.0,301.8292204181698,-161.15240860223093,1.0
10,1673.0,297.9389550799701,-160.04759459079696,1.0
11,1673.0,287.54737707343065,-157.13466884343052,1.0
12,1673.0,286.2206013998334,-156.78859817158877,1.0
13,1673.0,284.6844807841753,-156.45817677319064,1.0
14,1673.0,281.1043265890248,-155.99675516183447,1.0
15,1673.0,273.6145751330646,-155.09974150975358,1.0
16,1673.0,271.36507945327367,-154.8432036234792,1.0
17,1673.0,270.5359488481904,-154.7615476310284,1.0
18,1673.0,268.5223773169264,-154.57950600197364,1.0
19,1673.0,267.571447052595,-154.49955138660061,1.0
20,1673.0,266.6434965205708,-154.47440328991684,1.0
21,1673.0,266.2551620017166,-154.46579517899818,1.0
22,1673.0,265.98663678438425,-154.464288596688,0.0
23,1643.0,587.0884641583002,-320.5348570911833,1.0
24,1643.0,586.9969623375991,-319.8605476075877,1.0
25,1643.0,586.8950571254704,-319.4146458098985,1.0
26,1643.0,584.3387155480605,-309.9113299855244,1.0
27,1643.0,583.9247740315186,-308.7251025529108,1.0
28,1643.0,582.5010562102229,-305.6757295590819,1.0
29,1643.0,580.7210404807643,-303.4868970621926,1.0
30,1643.0,578.8093270002555,-302.4274200536322,1.0
31,1643.0,577.0254947781368,-301.7908851418931,1.0
32,1643.0,574.8292204181698,-301.15240860223093,1.0
33,1643.0,570.9389550799701,-300.04759459079696,1.0
34,1643.0,560.5473770734307,-297.1346688434305,1.0
35,1643.0,559.2206013998334,-296.7885981715888,1.0
36,1643.0,557.6844807841753,-296.45817677319064,1.0
37,1643.0,554.1043265890248,-295.99675516183447,1.0
38,1643.0,546.6145751330646,-295.0997415097536,1.0
39,1643.0,544.3650794532737,-294.8432036234792,1.0
40,1643.0,543.5359488481904,-294.7615476310284,1.0
41,1643.0,541.5223773169264,-294.57950600197364,1.0
42,1643.0,540.571447052595,-294.4995513866006,1.0
43,1643.0,539.6434965205708,-294.47440328991684,1.0
44,1643.0,539.2551620017166,-294.4657951789982,1.0
45,1643.0,538.9866367843842,-294.464288596688,0.0
46,1634.0,78.81189758152118,6.774944727040975,1.0
47,1634.0,76.87584986677416,7.0551345709320685,1.0
48,1634.0,76.6409581607104,7.085675065602118,1.0
49,1634.0,75.55371249399195,7.17586808373062,1.0
50,1634.0,74.07599450506996,7.291674261733533,1.0
51,1634.0,73.5132280829348,7.299088689750079,0.0
52,1613.0,308.0884641583002,19.465142908816688,1.0
53,1613.0,307.99696233759914,20.139452392412295,1.0
54,1613.0,307.89505712547043,20.585354190101498,1.0
55,1613.0,305.33871554806046,30.08867001447561,1.0
56,1613.0,304.9247740315186,31.274897447089188,1.0
57,1613.0,303.50105621022294,34.3242704409181,1.0
58,1613.0,301.72104048076426,36.51310293780739,1.0
59,1613.0,299.8093270002555,37.572579946367796,1.0
60,1613.0,298.0254947781368,38.20911485810689,1.0
61,1613.0,295.8292204181698,38.847591397769065,1.0
62,1613.0,292.26314591547816,39.86033699064819,1.0
63,1613.0,282.6010079907387,42.53614497798958,1.0
64,1613.0,281.8460650518696,42.70635312030254,1.0
65,1613.0,280.938112960494,42.8576652418642,1.0
66,1613.0,274.0416258475948,43.87176813062251,1.0
67,1613.0,266.4763339234919,44.96830383169436,0.0
68,1583.0,581.0884641583002,-120.53485709118331,1.0
69,1583.0,580.9969623375991,-119.8605476075877,1.0
70,1583.0,580.8950571254704,-119.4146458098985,1.0
71,1583.0,578.3387155480605,-109.91132998552439,1.0
72,1583.0,577.9247740315186,-108.72510255291081,1.0
73,1583.0,576.5010562102229,-105.6757295590819,1.0
74,1583.0,574.7210404807643,-103.48689706219261,1.0
75,1583.0,572.8093270002555,-102.4274200536322,1.0
76,1583.0,571.0254947781368,-101.79088514189311,1.0
77,1583.0,568.8292204181698,-101.15240860223093,1.0
78,1583.0,565.2631459154782,-100.1396630093518,1.0
79,1583.0,555.6010079907387,-97.46385502201042,1.0
80,1583.0,554.8460650518696,-97.29364687969746,1.0
81,1583.0,553.938112960494,-97.1423347581358,1.0
82,1583.0,547.0416258475948,-96.12823186937749,1.0
83,1583.0,538.8758498667744,-94.94486542906793,1.0
84,1583.0,538.5825848724171,-94.90855176169634,1.0
85,1583.0,537.5537124939915,-94.82413191626938,1.0
86,1583.0,536.07599450507,-94.70832573826647,1.0
87,1583.0,535.5132280829348,-94.70091131024992,0.0
88,1578.0,-293.9115358416998,235.4651429088167,1.0
89,1578.0,-294.00303766240154,236.1394523924123,1.0
90,1578.0,-294.10494287452957,236.5853541901015,1.0
91,1578.0,-296.66128445193976,246.0886700144756,1.0
92,1578.0,-297.7363716155487,249.16953490712626,1.0
93,1578.0,-298.5615011415525,251.14547659817367,1.0
94,1578.0,-299.53757500365873,253.4119896092493,1.0
95,1578.0,-299.66079277048266,253.6782059285813,1.0
96,1578.0,-302.9002571963563,255.37908061917892,1.0
97,1578.0,-303.6905989097065,255.6445367243639,1.0
98,1578.0,-307.70042663114464,256.9683525999253,1.0
99,1578.0,-308.4351679435176,257.18194845080006,1.0
100,1578.0,-309.1768899659262,257.3925934355775,1.0
101,1578.0,-312.7312662936231,258.37693340689134,1.0
102,1578.0,-318.433533372616,259.8342845201487,1.0
103,1578.0,-323.02938376531256,260.60019263347635,1.0
104,1578.0,-332.54621840439086,261.9799289479488,1.0
105,1578.0,-335.0176619422398,262.3362911391505,1.0
