,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.27,0.08,0.18,2,34
1,0.0,2.34,2.23,0.1,35,51
2,0.02,1.23,1.16,0.06,19,44
3,0.0,1.39,1.2,0.16,12,75
4,0.04,6.33,6.29,0.02,33,46
5,0.02,0.67,0.42,0.21,5,83
6,0.1,2.78,2.68,0.08,39,20
7,0.08,1.57,1.53,0.04,21,25
8,0.0,0.74,0.61,0.11,8,44
9,0.0,2.73,2.57,0.14,21,70
10,0.0,4.39,4.31,0.06,28,83
11,0.05,2.84,2.81,0.02,15,60
12,0.06,0.88,0.74,0.13,5,71
13,0.06,4.23,4.13,0.08,26,87
14,0.13,2.01,1.91,0.08,19,61
15,0.08,2.56,2.49,0.06,20,72
16,0.24,0.81,0.7,0.08,13,49
17,0.16,1.65,1.54,0.09,19,67
18,0.18,2.14,2.05,0.07,22,78
19,0.18,2.48,2.45,0.02,16,76
20,0.18,0.79,0.77,0.01,4,76
21,0.18,0.21,0.19,0.01,2,76
22,0.18,0.23,0.21,0.01,2,76
23,0.17,0.35,0.31,0.03,3,81
24,0.27,1.0,0.96,0.03,7,59
25,0.25,1.4,1.35,0.05,8,64
26,0.24,1.85,1.75,0.09,9,72
27,0.16,2.37,2.31,0.05,19,80
28,0.11,1.78,1.62,0.14,10,107
29,0.17,3.44,3.41,0.01,28,88
30,0.18,0.52,0.46,0.05,3,84
31,0.14,1.05,0.92,0.1,9,102
32,0.1,4.37,4.32,0.03,20,106
33,0.06,1.21,1.14,0.05,7,114
34,0.06,1.6,1.52,0.06,10,125
35,0.05,1.15,1.05,0.07,13,140
36,0.03,4.19,4.15,0.02,17,143
37,0.02,0.72,0.67,0.04,5,149
38,0.02,1.06,1.03,0.01,7,149
39,0.02,0.26,0.23,0.01,1,148
40,0.02,0.31,0.28,0.02,2,149
41,0.01,0.34,0.29,0.03,3,152
42,0.02,0.86,0.81,0.03,7,151
43,0.01,1.46,1.42,0.02,7,153
44,0.01,0.98,0.93,0.03,5,158
45,0.02,1.36,1.23,0.11,7,168
46,0.03,2.36,2.33,0.02,23,163
47,0.04,0.55,0.45,0.07,4,168
48,0.04,0.9,0.87,0.01,15,168
49,0.04,0.39,0.35,0.02,3,166
50,0.04,0.48,0.43,0.03,3,167
51,0.04,0.93,0.88,0.03,6,170
52,0.04,0.65,0.61,0.02,6,171
53,0.03,0.66,0.6,0.04,5,175
54,0.03,1.09,1.05,0.02,8,179
55,0.05,1.34,1.3,0.02,6,147
56,0.05,1.22,1.01,0.17,6,168
57,0.07,6.51,6.47,0.02,35,147
58,0.07,1.3,1.2,0.08,7,148
59,0.07,3.11,3.07,0.02,16,149
60,0.05,1.04,0.91,0.1,5,168
61,0.04,3.57,3.53,0.02,22,171
62,0.05,0.87,0.84,0.01,4,170
63,0.05,0.86,0.82,0.02,4,169
64,0.05,0.78,0.74,0.02,4,171
65,0.04,0.9,0.86,0.03,5,174
66,0.05,0.77,0.74,0.01,5,172
67,0.04,0.76,0.71,0.03,3,176
68,0.04,1.15,1.12,0.01,6,176
69,0.03,0.43,0.29,0.1,2,194
70,0.03,2.96,2.7,0.22,20,230
71,0.03,9.21,9.1,0.08,42,238
72,0.03,1.97,1.89,0.05,16,245
73,0.02,1.28,1.24,0.02,11,248
74,0.04,0.67,0.57,0.07,5,236
75,0.05,2.24,2.16,0.05,16,243
76,0.04,1.67,1.61,0.03,10,245
77,0.05,1.4,1.23,0.13,6,248
78,0.07,7.74,7.71,0.01,27,235
79,0.11,0.47,0.41,0.04,3,220
80,0.11,1.04,1.0,0.02,8,217
81,0.11,0.49,0.43,0.03,3,214
82,0.11,0.86,0.81,0.03,6,215
83,0.1,0.52,0.49,0.01,4,212
84,0.1,0.21,0.18,0.02,2,210
85,0.11,0.46,0.4,0.03,3,201
86,0.11,0.96,0.92,0.01,7,201
87,0.11,0.63,0.58,0.03,2,202
88,0.12,1.87,1.82,0.02,7,203
89,0.12,1.33,1.29,0.01,5,201
90,0.12,0.84,0.79,0.02,3,202
91,0.12,1.51,1.47,0.02,5,204
92,0.12,1.62,1.57,0.02,6,207
93,0.11,1.29,1.25,0.02,6,210
94,0.11,1.3,1.2,0.07,5,218
95,0.11,2.81,2.78,0.01,14,216
96,0.11,0.91,0.86,0.03,3,219
97,0.1,1.04,0.99,0.03,6,224
98,0.1,1.36,1.26,0.07,7,221
99,0.11,3.17,3.13,0.01,14,219
100,0.1,0.77,0.71,0.02,3,221
101,0.1,0.96,0.9,0.03,6,225
102,0.11,0.49,0.45,0.01,5,214
103,0.12,0.55,0.51,0.01,2,212
104,0.11,0.18,0.15,0.01,1,205
105,0.11,0.57,0.49,0.06,2,207
106,0.11,1.85,1.82,0.01,11,207
107,0.11,0.38,0.32,0.03,3,209
108,0.11,0.62,0.58,0.01,5,207
109,0.12,0.44,0.4,0.02,2,204
110,0.11,0.7,0.64,0.04,4,207
111,0.11,1.3,1.26,0.02,8,208
112,0.1,0.64,0.58,0.03,3,212
113,0.1,1.27,1.22,0.02,7,213
114,0.09,0.91,0.78,0.09,4,219
115,0.08,3.04,2.85,0.14,20,234
116,0.07,5.17,5.1,0.04,30,241
117,0.07,1.35,1.16,0.15,9,259
118,0.09,2.53,2.49,0.01,28,235
119,0.08,0.79,0.73,0.03,5,239
120,0.07,1.15,1.02,0.1,6,249
121,0.09,4.37,4.32,0.02,21,229
122,0.09,1.42,1.35,0.04,9,234
123,0.09,0.91,0.84,0.04,7,235
124,0.08,1.23,1.19,0.01,7,233
125,0.07,1.0,0.9,0.07,3,243
126,0.09,3.9,3.65,0.2,18,217
127,0.09,5.51,5.46,0.02,42,220
128,0.09,0.85,0.8,0.03,5,224
129,0.08,1.36,1.31,0.02,6,226
130,0.08,0.96,0.91,0.02,4,230
131,0.08,1.02,0.96,0.03,6,235
132,0.08,0.95,0.9,0.03,7,238
133,0.08,1.0,0.95,0.02,5,240
134,0.08,0.55,0.5,0.03,4,241
135,0.08,1.09,1.05,0.02,6,240
136,0.08,0.65,0.62,0.01,3,239
137,0.08,0.54,0.51,0.01,2,239
138,0.08,0.36,0.32,0.01,2,238
139,0.08,0.49,0.44,0.02,2,241
140,0.08,1.18,1.1,0.05,5,234
141,0.08,2.32,2.14,0.14,12,249
142,0.09,5.5,5.46,0.01,28,226
143,0.06,0.65,0.4,0.22,3,264
144,0.06,8.1,7.98,0.09,40,279
145,0.07,4.7,4.64,0.03,17,270
146,0.08,1.99,1.91,0.05,7,277
147,0.08,2.07,2.03,0.02,10,274
148,0.08,0.73,0.67,0.03,4,276
149,0.07,1.21,1.14,0.04,5,281
150,0.07,1.61,1.54,0.04,8,287
151,0.06,1.25,1.12,0.09,8,301
152,0.06,2.26,2.22,0.01,17,301
153,0.06,0.62,0.55,0.04,3,302
154,0.06,1.44,1.36,0.04,8,309
155,0.07,1.46,1.36,0.06,9,306
156,0.07,3.64,3.53,0.07,14,314
157,0.06,2.57,2.53,0.01,14,315
158,0.08,1.61,1.5,0.07,3,312
159,0.08,5.6,5.55,0.01,15,311
160,0.07,0.43,0.38,0.02,2,313
161,0.07,1.12,1.06,0.03,5,313
162,0.07,1.39,1.31,0.05,6,320
163,0.05,2.47,2.32,0.11,11,324
164,0.05,4.54,4.49,0.01,22,325
165,0.05,0.48,0.43,0.01,2,325
166,0.05,0.21,0.17,0.01,1,325
167,0.05,0.4,0.35,0.02,2,326
168,0.05,0.82,0.77,0.02,4,327
169,0.05,0.8,0.75,0.02,4,329
170,0.05,0.99,0.94,0.02,5,331
171,0.06,0.99,0.93,0.02,4,300
172,0.06,0.72,0.58,0.09,4,307
173,0.06,2.69,2.56,0.09,20,320
174,0.07,3.63,3.58,0.02,18,311
175,0.07,0.91,0.84,0.04,4,315
176,0.07,1.19,1.14,0.02,8,313
177,0.09,0.4,0.35,0.02,3,305
178,0.11,0.51,0.44,0.04,3,293
179,0.12,2.73,2.69,0.01,11,293
180,0.12,0.43,0.39,0.01,2,283
181,0.12,0.96,0.89,0.04,4,280
182,0.12,3.66,3.57,0.05,10,289
183,0.11,4.7,4.65,0.02,14,291
184,0.13,1.67,1.62,0.02,7,281
185,0.13,1.45,1.4,0.02,7,279
186,0.13,0.68,0.63,0.02,3,277
187,0.12,0.6,0.49,0.07,3,284
188,0.11,3.45,3.32,0.09,15,297
189,0.11,4.67,4.63,0.01,19,298
190,0.11,0.54,0.5,0.01,2,298
191,0.11,0.64,0.6,0.02,2,299
192,0.11,1.28,1.2,0.05,3,302
193,0.11,3.21,3.16,0.02,10,301
194,0.11,1.15,1.09,0.03,4,301
195,0.11,1.41,1.36,0.01,5,299
196,0.11,0.44,0.4,0.01,2,299
