,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,1.0,0.02,0.02,0.0,1,2
1,2.5,0.06,0.06,0.0,2,2
2,3.5,0.02,0.02,0.0,2,2
3,4.5,0.05,0.05,0.0,2,2
4,5.33,0.06,0.06,0.0,2,3
5,6.33,0.06,0.06,0.0,2,3
6,8.0,0.07,0.06,0.0,2,3
7,8.67,0.05,0.05,0.0,2,3
8,8.67,0.05,0.05,0.0,2,3
9,8.0,0.03,0.03,0.0,1,3
10,8.67,0.02,0.02,0.0,2,3
11,9.33,0.04,0.04,0.0,2,3
12,10.33,0.03,0.02,0.0,2,3
13,11.0,0.03,0.03,0.0,2,3
14,11.67,0.04,0.04,0.0,2,3
15,10.0,0.03,0.03,0.0,2,2
