,connected,z_0,z_1,z_2
0,0.0,3001.0,993.0,2554.0
1,0.0,3001.0,993.0,2554.0
2,0.0,3001.0,993.0,2554.0
3,0.0,2920.0,1385.0,2131.0
4,0.0,2913.0,1627.0,2637.0
5,0.0,2913.0,1627.0,2637.0
6,0.0,2913.0,1627.0,2637.0
7,0.0,2794.0,1108.0,2777.0
8,0.0,2794.0,1108.0,2777.0
9,0.0,2794.0,1108.0,2777.0
10,0.0,2338.0,1731.0,3054.0
11,0.0,2338.0,1731.0,3054.0
12,0.0,2338.0,1731.0,3054.0
13,0.0,2326.0,1991.0,2679.0
14,0.0,2326.0,1991.0,2679.0
15,0.0,2326.0,1991.0,2679.0
16,0.0,2291.0,1326.0,3081.0
17,0.0,2257.0,2123.0,2631.0
18,0.0,2257.0,2123.0,2631.0
19,0.0,2257.0,2123.0,2631.0
20,0.0,1991.0,2147.0,2529.0
21,0.0,1991.0,2147.0,2529.0
22,0.0,1991.0,2147.0,2529.0
23,0.0,1823.0,2209.0,2983.0
24,0.0,1635.0,2522.0,2448.0
25,0.0,1635.0,2522.0,2448.0
26,0.0,1635.0,2522.0,2448.0
27,0.0,1635.0,1822.0,3075.0
28,0.0,1554.0,2214.0,2652.0
29,0.0,1554.0,2214.0,2652.0
30,0.0,1554.0,2214.0,2652.0
31,0.0,1167.0,2705.0,2977.0
