,algorithm,instance,iter,nd_edges,nd_points,num_dom_lp,num_milp,time (sec),time_dom_test (sec),time_search (sec),time_slice (sec),y_eff
0,ConeBasedSearchAlgorithm,momilp_3obj_1con_10int_10bin_KP_p-3_n-10_ins-3,20,0,7,0,36,0.81,0,0.69,0.0,17
1,ConeBasedSearchAlgorithm,momilp_3obj_1con_10int_10bin_KP_p-3_n-10_ins-7,20,0,10,0,35,0.85,0,0.69,0.0,20
2,ConeBasedSearchAlgorithm,momilp_3obj_1con_10int_10bin_KP_p-3_n-10_ins-6,20,0,8,0,36,0.85,0,0.72,0.0,20
3,ConeBasedSearchAlgorithm,momilp_3obj_1con_10int_10bin_KP_p-3_n-10_ins-2,26,0,16,0,47,1.21,0,1.06,0.0,26
4,ConeBasedSearchAlgorithm,momilp_3obj_1con_10int_10bin_KP_p-3_n-10_ins-9,4,0,4,0,6,0.22,0,0.09,0.0,4
5,ConeBasedSearchAlgorithm,momilp_3obj_1con_10int_10bin_KP_p-3_n-10_ins-10,16,0,8,0,30,0.82,0,0.64,0.0,16
6,ConeBasedSearchAlgorithm,momilp_3obj_1con_10int_10bin_KP_p-3_n-10_ins-8,7,0,5,0,13,0.32,0,0.17,0.0,7
7,ConeBasedSearchAlgorithm,momilp_3obj_1con_10int_10bin_KP_p-3_n-10_ins-5,32,0,14,0,60,2.15,0,1.96,0.0,32
8,ConeBasedSearchAlgorithm,momilp_3obj_1con_10int_10bin_KP_p-3_n-10_ins-1,27,0,11,0,48,0.87,0,0.76,0.0,27
9,ConeBasedSearchAlgorithm,momilp_3obj_1con_10int_10bin_KP_p-3_n-10_ins-4,7,0,7,0,11,0.28,0,0.13,0.0,7
