,connected,z_0,z_1,z_2
0,0.0,17691.0,11529.0,11924.0
1,0.0,17647.0,11251.0,12186.0
2,0.0,17618.0,12683.0,12021.0
3,0.0,17611.0,11482.0,12734.0
4,0.0,17610.0,12351.0,12495.0
5,0.0,17590.0,12891.0,12803.0
6,0.0,17573.0,12154.0,13068.0
7,0.0,17568.0,12349.0,12953.0
8,0.0,17552.0,13563.0,13137.0
9,0.0,17545.0,12362.0,13850.0
10,0.0,17398.0,12783.0,13526.0
11,0.0,17378.0,13115.0,13192.0
12,0.0,17354.0,12505.0,13788.0
13,0.0,17334.0,13286.0,13222.0
14,0.0,17306.0,13174.0,13651.0
15,0.0,17270.0,13228.0,13439.0
16,0.0,17239.0,12435.0,13790.0
17,0.0,17226.0,13399.0,13469.0
18,0.0,17217.0,11952.0,14128.0
19,0.0,17203.0,12874.0,14064.0
20,0.0,17201.0,13977.0,12639.0
21,0.0,17187.0,13707.0,12898.0
22,0.0,17181.0,13202.0,13800.0
23,0.0,17167.0,12928.0,13852.0
24,0.0,17157.0,13699.0,12901.0
25,0.0,17151.0,13761.0,12686.0
26,0.0,17151.0,13643.0,13571.0
27,0.0,17145.0,13256.0,13588.0
28,0.0,17123.0,13099.0,13882.0
29,0.0,17114.0,11652.0,14541.0
30,0.0,17113.0,13870.0,12931.0
31,0.0,17112.0,12045.0,14169.0
32,0.0,17101.0,13427.0,13618.0
33,0.0,17092.0,11980.0,14277.0
34,0.0,17059.0,14152.0,12811.0
35,0.0,17029.0,14593.0,12582.0
36,0.0,17026.0,12095.0,14066.0
37,0.0,17009.0,11745.0,14582.0
38,0.0,16987.0,12073.0,14318.0
39,0.0,16986.0,13357.0,13620.0
40,0.0,16984.0,14396.0,12913.0
41,0.0,16956.0,13852.0,13224.0
42,0.0,16950.0,13445.0,13635.0
43,0.0,16934.0,14180.0,12960.0
44,0.0,16926.0,14293.0,12995.0
45,0.0,16923.0,11795.0,14479.0
46,0.0,16921.0,12188.0,14107.0
47,0.0,16920.0,13569.0,13665.0
48,0.0,16904.0,14621.0,12731.0
49,0.0,16901.0,12123.0,14215.0
50,0.0,16875.0,12464.0,14342.0
51,0.0,16853.0,12792.0,14078.0
52,0.0,16839.0,12518.0,14130.0
53,0.0,16823.0,13233.0,13849.0
54,0.0,16818.0,11888.0,14520.0
55,0.0,16795.0,13644.0,13287.0
56,0.0,16795.0,12689.0,14160.0
57,0.0,16773.0,13017.0,13896.0
58,0.0,16770.0,12557.0,14383.0
59,0.0,16751.0,13815.0,13317.0
60,0.0,16750.0,12492.0,14491.0
61,0.0,16748.0,12885.0,14119.0
62,0.0,16747.0,13049.0,13943.0
63,0.0,16734.0,12611.0,14171.0
64,0.0,16725.0,13377.0,13679.0
65,0.0,16724.0,13733.0,13479.0
66,0.0,16720.0,12933.0,14262.0
67,0.0,16719.0,13098.0,13910.0
68,0.0,16703.0,11818.0,14522.0
69,0.0,16702.0,14061.0,13215.0
70,0.0,16695.0,13818.0,13450.0
71,0.0,16695.0,13135.0,13859.0
72,0.0,16681.0,11335.0,14860.0
73,0.0,16680.0,13904.0,13509.0
74,0.0,16670.0,12717.0,14309.0
75,0.0,16668.0,13110.0,13937.0
76,0.0,16667.0,13274.0,13761.0
77,0.0,16659.0,11663.0,14596.0
78,0.0,16658.0,14232.0,13245.0
79,0.0,16645.0,12585.0,14532.0
80,0.0,16644.0,13958.0,13297.0
81,0.0,16631.0,12991.0,14202.0
82,0.0,16622.0,14286.0,13033.0
83,0.0,16615.0,13026.0,14303.0
84,0.0,16609.0,12639.0,14320.0
85,0.0,16599.0,13761.0,13628.0
86,0.0,16592.0,13159.0,13943.0
87,0.0,16565.0,12810.0,14350.0
88,0.0,16556.0,11363.0,15009.0
89,0.0,16555.0,13932.0,13658.0
90,0.0,16549.0,13545.0,13675.0
91,0.0,16549.0,13255.0,13801.0
92,0.0,16547.0,13714.0,13853.0
93,0.0,16534.0,11756.0,14536.0
94,0.0,16531.0,14083.0,13328.0
95,0.0,16526.0,11383.0,14613.0
96,0.0,16519.0,13986.0,13446.0
97,0.0,16497.0,11637.0,14801.0
98,0.0,16489.0,12859.0,14356.0
99,0.0,16487.0,13252.0,13984.0
100,0.0,16476.0,14759.0,11626.0
101,0.0,16475.0,11965.0,14537.0
102,0.0,16471.0,14304.0,13050.0
103,0.0,16444.0,13414.0,14266.0
104,0.0,16437.0,10161.0,15090.0
105,0.0,16434.0,11921.0,14596.0
