,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.03,0.03,0.0,1,2
1,0.0,0.13,0.13,0.0,2,3
2,1.0,0.12,0.11,0.0,2,2
3,0.33,0.15,0.15,0.0,2,3
4,0.33,0.22,0.22,0.0,2,3
5,0.67,0.18,0.18,0.0,2,3
6,0.75,0.28,0.27,0.0,2,4
7,0.25,0.29,0.29,0.0,2,4
8,0.2,0.34,0.34,0.0,2,5
9,0.17,0.13,0.13,0.0,2,6
10,0.33,0.3,0.3,0.0,2,6
11,0.43,0.3,0.3,0.0,2,7
12,0.38,0.25,0.25,0.0,2,8
13,0.71,0.28,0.27,0.0,2,7
14,0.88,0.26,0.26,0.0,2,8
15,1.0,0.21,0.21,0.0,2,7
16,0.75,0.33,0.33,0.0,2,8
17,0.38,0.23,0.23,0.0,2,8
18,0.5,0.24,0.24,0.0,2,8
19,0.22,0.21,0.21,0.0,2,9
20,0.2,0.25,0.25,0.0,2,10
21,0.18,0.31,0.31,0.0,2,11
22,1.0,0.29,0.28,0.0,2,6
23,0.29,0.31,0.31,0.0,2,7
24,0.43,0.14,0.14,0.0,2,7
25,0.25,0.25,0.25,0.0,2,8
26,0.0,0.16,0.15,0.0,2,9
27,0.11,0.25,0.25,0.0,2,9
28,0.2,0.14,0.14,0.0,2,5
29,0.0,0.17,0.17,0.0,2,6
30,0.0,0.23,0.23,0.0,2,7
31,0.0,0.29,0.28,0.0,2,8
32,0.0,0.38,0.38,0.0,2,9
33,0.0,0.28,0.28,0.0,2,10
34,0.22,0.25,0.25,0.0,2,9
35,0.86,0.27,0.27,0.0,2,7
36,0.88,0.32,0.32,0.0,2,8
37,0.78,0.33,0.33,0.0,2,9
38,0.7,0.32,0.32,0.0,2,10
39,0.64,0.22,0.22,0.0,2,11
40,0.8,0.24,0.24,0.0,2,10
41,1.83,0.32,0.32,0.0,2,6
42,1.67,0.3,0.3,0.0,2,6
43,0.86,0.37,0.37,0.0,2,7
44,0.75,0.23,0.23,0.0,2,8
45,0.67,0.3,0.3,0.0,2,9
46,0.78,0.29,0.29,0.0,2,9
47,0.6,0.3,0.3,0.0,2,10
48,0.89,0.24,0.24,0.0,2,9
49,0.78,0.4,0.4,0.0,2,9
50,0.89,0.32,0.32,0.0,2,9
51,0.8,0.31,0.31,0.0,2,10
52,0.5,0.3,0.3,0.0,2,10
53,0.88,0.29,0.29,0.0,2,8
54,0.78,0.38,0.38,0.0,2,9
55,0.78,0.3,0.3,0.0,2,9
56,0.7,0.35,0.35,0.0,2,10
57,0.88,0.24,0.24,0.0,2,8
58,0.88,0.33,0.33,0.0,2,8
59,1.29,0.27,0.27,0.0,2,7
60,1.83,0.51,0.51,0.0,2,6
61,1.43,0.3,0.3,0.0,2,7
62,0.38,0.23,0.23,0.0,2,8
63,0.33,0.37,0.37,0.0,2,9
64,0.1,0.31,0.31,0.0,2,10
65,0.09,0.28,0.28,0.0,2,11
66,0.18,0.33,0.33,0.0,2,11
67,0.36,0.33,0.33,0.0,2,11
68,0.42,0.23,0.23,0.0,2,12
69,0.5,0.22,0.22,0.0,2,12
70,0.7,0.33,0.33,0.0,2,10
71,0.36,0.36,0.36,0.0,2,11
72,0.88,0.25,0.25,0.0,2,8
73,0.67,0.41,0.41,0.0,2,9
74,0.4,0.29,0.29,0.0,2,10
75,0.36,0.23,0.22,0.0,2,11
76,0.45,0.4,0.4,0.0,2,11
77,0.5,0.2,0.2,0.0,2,12
78,0.46,0.33,0.32,0.0,2,13
79,0.43,0.4,0.4,0.0,2,14
80,0.36,0.29,0.29,0.0,2,14
81,0.33,0.28,0.28,0.0,2,15
82,0.62,0.44,0.43,0.0,2,13
83,0.36,0.32,0.32,0.0,2,14
84,0.36,0.3,0.29,0.0,2,14
85,0.42,0.23,0.23,0.0,1,12
86,0.31,0.27,0.27,0.0,2,13
87,0.29,0.19,0.19,0.0,2,14
88,0.27,0.3,0.3,0.0,2,15
89,0.0,0.35,0.34,0.0,2,16
90,0.0,0.32,0.32,0.0,2,17
91,0.0,0.28,0.28,0.0,2,18
92,0.0,0.11,0.11,0.0,2,19
93,0.0,0.31,0.31,0.0,2,20
94,0.0,0.29,0.29,0.0,2,21
95,0.1,0.29,0.28,0.0,2,20
96,0.26,0.42,0.42,0.0,2,19
97,0.28,0.34,0.34,0.0,2,18
98,0.32,0.39,0.38,0.0,2,19
99,0.37,0.34,0.34,0.0,2,19
100,0.37,0.42,0.42,0.0,2,19
101,0.42,0.47,0.46,0.0,2,19
102,0.32,0.27,0.26,0.0,2,19
103,0.47,0.28,0.28,0.0,2,17
104,0.59,0.32,0.32,0.0,2,17
105,0.61,0.29,0.29,0.0,2,18
106,0.56,0.27,0.26,0.0,2,18
107,0.53,0.36,0.36,0.0,2,19
108,0.5,0.34,0.34,0.0,2,20
109,0.58,0.27,0.27,0.0,2,19
110,0.72,0.36,0.36,0.0,2,18
111,0.58,0.38,0.38,0.0,2,19
112,0.55,0.32,0.31,0.0,2,20
113,0.5,0.35,0.34,0.0,2,20
114,0.52,0.38,0.38,0.0,2,21
115,0.6,0.42,0.42,0.0,2,20
116,0.58,0.37,0.37,0.0,2,19
117,0.81,0.32,0.32,0.0,2,16
118,0.76,0.29,0.29,0.0,2,17
119,0.61,0.31,0.31,0.0,2,18
120,0.67,0.33,0.32,0.0,2,18
121,0.82,0.31,0.31,0.0,2,17
122,0.59,0.24,0.24,0.0,2,17
123,0.56,0.3,0.3,0.0,2,18
124,0.42,0.27,0.26,0.0,2,19
125,0.59,0.46,0.45,0.0,2,17
126,0.61,0.4,0.4,0.0,2,18
127,0.58,0.32,0.32,0.0,2,19
128,0.76,0.39,0.39,0.0,2,17
129,1.21,0.51,0.51,0.0,2,14
130,1.36,0.48,0.47,0.0,2,14
131,1.07,0.34,0.33,0.0,2,15
132,1.0,0.47,0.47,0.0,2,16
133,0.94,0.31,0.3,0.0,2,17
134,0.56,0.27,0.27,0.0,2,18
135,0.53,0.3,0.3,0.0,2,19
136,0.5,0.3,0.29,0.0,2,20
137,0.48,0.31,0.31,0.0,2,21
138,0.45,0.4,0.39,0.0,2,22
139,0.43,0.3,0.3,0.0,2,23
140,0.48,0.38,0.37,0.0,2,23
141,0.65,0.35,0.35,0.0,2,20
142,0.71,0.34,0.34,0.0,2,21
143,0.68,0.28,0.28,0.0,2,22
144,0.62,0.39,0.39,0.0,2,21
145,0.55,0.31,0.31,0.0,2,22
146,0.59,0.44,0.44,0.0,2,22
147,0.89,0.34,0.34,0.0,2,19
148,0.84,0.16,0.16,0.0,2,19
149,0.89,0.43,0.43,0.0,2,18
150,0.94,0.31,0.31,0.0,2,17
151,1.2,0.34,0.34,0.0,2,15
152,1.12,0.38,0.38,0.0,2,16
153,1.06,0.26,0.26,0.0,2,17
154,1.06,0.38,0.38,0.0,2,17
155,0.78,0.24,0.24,0.0,2,18
156,0.63,0.11,0.1,0.0,2,19
157,0.88,0.29,0.28,0.0,2,16
158,1.0,0.48,0.48,0.0,2,16
159,0.71,0.19,0.19,0.0,1,17
160,0.67,0.43,0.43,0.0,2,18
161,0.63,0.27,0.27,0.0,2,19
162,0.58,0.34,0.34,0.0,2,19
163,0.6,0.36,0.36,0.0,2,20
164,0.48,0.25,0.25,0.0,2,21
165,0.47,0.35,0.35,0.0,2,19
166,0.67,0.25,0.25,0.0,2,18
167,0.93,0.33,0.33,0.0,2,15
168,1.13,0.47,0.47,0.0,2,15
169,1.12,0.4,0.4,0.0,2,16
170,1.27,0.22,0.22,0.0,2,15
171,1.12,0.37,0.37,0.0,2,16
172,0.82,0.26,0.26,0.0,2,17
173,0.78,0.33,0.32,0.0,2,18
174,0.53,0.21,0.21,0.0,2,19
175,0.5,0.25,0.24,0.0,2,20
176,0.48,0.36,0.36,0.0,2,21
177,0.27,0.38,0.38,0.0,2,22
178,0.26,0.38,0.38,0.0,2,23
179,0.3,0.35,0.34,0.0,2,23
180,0.29,0.38,0.37,0.0,2,24
181,0.21,0.44,0.44,0.0,2,24
182,0.2,0.34,0.33,0.0,2,25
183,0.19,0.18,0.18,0.0,2,26
184,0.15,0.25,0.24,0.0,2,26
185,0.19,0.35,0.34,0.0,2,27
186,0.18,0.38,0.37,0.0,2,28
187,0.39,0.48,0.47,0.0,2,23
188,0.52,0.45,0.44,0.0,2,23
189,0.46,0.35,0.34,0.0,2,24
190,0.42,0.35,0.35,0.0,2,24
191,0.42,0.39,0.39,0.0,2,24
192,0.63,0.29,0.28,0.0,2,19
193,1.0,0.42,0.41,0.0,2,16
194,1.07,0.4,0.4,0.0,2,15
195,0.87,0.36,0.36,0.0,2,15
196,1.0,0.34,0.33,0.0,2,15
197,1.07,0.24,0.23,0.0,2,15
198,1.13,0.44,0.43,0.0,2,15
199,0.94,0.31,0.31,0.0,2,16
200,0.65,0.46,0.46,0.0,2,17
201,0.53,0.36,0.35,0.0,2,17
202,0.56,0.18,0.17,0.0,2,18
203,0.69,0.39,0.38,0.0,2,16
204,0.81,0.26,0.26,0.0,2,16
205,0.76,0.32,0.32,0.0,2,17
