,connected,z_0,z_1,z_2
0,0,-90.0,161.2480116210436,386.5004719434812
0,1,292.0,131.0140538400633,-27.84402216943795
1,1,292.0,129.30466630493765,-22.735621269668968
2,1,292.0,121.060606060606,-3.209280303030255
3,1,292.0,119.63636363636363,0.03977272727274794
4,1,292.0,117.25,4.8125
5,0,292.0,111.82110091743118,13.408256880733916
6,1,286.0,242.0140538400633,-85.84402216943784
7,1,286.0,240.30466630493765,-80.73562126966902
8,1,286.0,232.060606060606,-61.20928030303031
9,1,286.0,230.63636363636363,-57.96022727272725
10,1,286.0,228.25,-53.1875
11,0,286.0,222.82110091743118,-44.591743119266084
12,1,224.0,19.014053840063355,222.15597783056205
13,1,224.0,17.30466630493754,227.26437873033103
14,1,224.0,9.060606060606062,246.79071969696975
15,1,224.0,7.636363636363626,250.03977272727275
16,1,224.0,5.25,254.8125
17,0,224.0,-0.17889908256876197,263.4082568807339
18,1,211.0,322.0140538400633,-136.84402216943784
19,1,211.0,320.30466630493765,-131.73562126966902
20,1,211.0,312.060606060606,-112.20928030303031
21,1,211.0,310.6363636363636,-108.96022727272725
22,1,211.0,308.25,-104.1875
23,0,211.0,302.8211009174312,-95.59174311926608
24,1,196.0,94.0140538400633,108.15597783056205
25,1,196.0,92.30466630493765,113.26437873033103
26,1,196.0,84.060606060606,132.79071969696975
27,1,196.0,82.63636363636363,136.03977272727275
28,1,196.0,80.25,140.8125
29,0,196.0,74.82110091743118,149.40825688073392
30,1,186.0,338.0140538400633,-67.84402216943784
31,1,186.0,336.30466630493765,-62.735621269669025
32,1,186.0,328.060606060606,-43.20928030303031
33,1,186.0,326.6363636363636,-39.96022727272725
34,1,186.0,324.25,-35.1875
35,0,186.0,323.27321786790367,-33.64092829084757
36,1,186.0,323.2699785722525,-33.63579940606655
37,0,186.0,321.4375,-30.734375
38,1,149.0,99.0140538400633,171.15597783056205
39,1,149.0,97.30466630493765,176.26437873033103
40,0,149.0,96.8649412576973,177.30588266765244
41,1,149.0,96.86188521061683,177.313121020543
