,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.06,0.03,0.03,2,8
1,0.0,0.28,0.25,0.03,9,15
2,0.0,0.71,0.68,0.02,9,22
3,0.14,0.41,0.38,0.02,9,22
4,0.0,0.43,0.41,0.02,9,29
5,1.0,0.58,0.57,0.01,9,4
6,0.44,0.38,0.36,0.02,5,9
7,0.25,0.82,0.77,0.05,7,16
8,0.0,0.96,0.92,0.03,9,23
9,0.07,0.56,0.53,0.02,9,28
10,0.21,0.58,0.56,0.02,9,28
11,0.17,0.38,0.35,0.02,9,30
12,0.16,0.53,0.49,0.03,9,37
13,0.11,0.82,0.79,0.02,9,35
14,0.14,0.59,0.57,0.01,8,36
15,0.14,0.37,0.34,0.02,4,43
16,0.12,0.6,0.58,0.01,9,48
17,0.07,0.66,0.64,0.02,7,54
18,0.09,0.49,0.47,0.02,8,58
19,0.07,0.6,0.58,0.01,7,59
20,0.06,0.27,0.24,0.02,3,66
21,0.1,0.82,0.81,0.01,9,63
22,0.11,0.42,0.4,0.01,5,61
23,0.11,0.46,0.44,0.01,5,61
24,0.14,0.59,0.57,0.02,6,65
25,0.14,1.03,1.01,0.01,8,66
26,0.16,0.47,0.44,0.02,4,61
27,0.25,0.81,0.78,0.02,9,59
28,0.35,0.67,0.66,0.01,9,55
29,0.32,0.72,0.69,0.02,6,60
30,0.3,0.41,0.38,0.02,7,67
31,0.33,0.46,0.44,0.01,9,63
32,0.29,0.32,0.3,0.02,4,68
33,0.35,0.54,0.53,0.01,6,63
34,0.32,0.32,0.29,0.02,4,69
35,0.7,0.82,0.8,0.01,8,37
36,0.57,0.67,0.64,0.02,5,42
37,0.62,0.81,0.79,0.01,7,40
38,0.67,0.27,0.26,0.01,4,39
39,0.62,0.36,0.33,0.02,3,40
40,0.47,1.1,1.08,0.02,7,47
41,0.37,0.68,0.63,0.04,9,52
42,0.34,0.8,0.79,0.01,8,53
43,0.28,0.23,0.2,0.02,3,60
44,0.51,0.61,0.59,0.01,9,37
45,0.44,0.52,0.5,0.02,7,41
46,0.4,0.28,0.27,0.01,6,42
47,0.31,0.21,0.18,0.02,4,49
48,0.23,0.68,0.65,0.02,10,56
49,0.29,0.57,0.55,0.02,10,56
50,0.43,0.43,0.4,0.02,9,49
51,0.6,0.99,0.97,0.02,9,42
52,0.56,1.12,1.1,0.01,9,43
53,0.5,0.54,0.52,0.02,4,50
54,0.47,0.63,0.6,0.02,11,55
55,0.48,0.76,0.75,0.01,8,56
56,0.46,0.25,0.23,0.01,3,59
57,0.39,0.14,0.13,0.01,4,61
58,0.41,0.32,0.3,0.01,4,61
59,0.4,0.51,0.49,0.01,8,62
60,0.33,0.67,0.62,0.03,5,69
61,0.31,0.69,0.66,0.01,9,71
62,0.3,0.49,0.47,0.02,5,74
63,0.26,0.43,0.42,0.01,5,76
64,0.24,0.39,0.36,0.02,4,83
65,0.26,1.6,1.55,0.03,10,82
66,0.25,0.48,0.47,0.01,9,83
67,0.23,0.25,0.22,0.02,3,90
68,0.26,0.84,0.81,0.02,9,93
69,0.32,1.29,1.14,0.13,9,78
70,0.36,0.52,0.5,0.01,10,75
71,0.33,0.49,0.47,0.01,6,79
72,0.29,0.46,0.43,0.02,6,84
73,0.36,0.95,0.92,0.01,10,78
74,0.34,1.56,1.53,0.01,8,80
75,0.3,0.83,0.8,0.02,5,87
76,0.28,0.71,0.68,0.02,9,87
77,0.33,0.8,0.78,0.01,9,81
78,0.35,0.37,0.34,0.02,7,81
79,0.33,0.67,0.66,0.01,9,84
80,0.42,0.75,0.71,0.02,5,79
81,0.35,1.2,1.16,0.03,8,85
82,0.35,1.83,1.81,0.01,12,88
83,0.31,0.42,0.4,0.01,5,91
84,0.49,0.19,0.17,0.01,5,70
85,0.45,0.56,0.52,0.03,7,78
86,0.34,0.74,0.71,0.02,11,85
87,0.33,0.59,0.58,0.01,9,88
88,0.33,0.32,0.29,0.02,5,91
89,0.31,0.7,0.68,0.01,8,94
90,0.26,0.24,0.22,0.01,5,96
91,0.26,0.19,0.17,0.01,4,98
92,0.26,0.46,0.44,0.01,5,101
93,0.32,0.5,0.48,0.01,5,90
94,0.32,0.38,0.36,0.01,6,92
95,0.29,0.37,0.34,0.02,5,98
96,0.2,0.67,0.64,0.01,9,103
97,0.2,0.43,0.4,0.02,7,105
98,0.2,0.69,0.66,0.02,7,109
99,0.18,0.89,0.87,0.01,9,112
100,0.2,0.81,0.79,0.01,6,111
101,0.2,0.48,0.46,0.01,5,111
102,0.21,0.44,0.41,0.02,4,108
103,0.19,0.25,0.23,0.01,5,109
104,0.2,0.29,0.24,0.03,3,115
105,0.22,1.1,1.08,0.01,12,112
106,0.19,0.38,0.34,0.03,2,122
107,0.21,1.2,1.18,0.01,12,119
108,0.21,0.23,0.19,0.03,4,126
109,0.21,0.33,0.28,0.04,9,132
110,0.18,0.83,0.79,0.03,13,142
111,0.18,0.54,0.51,0.01,12,144
112,0.2,0.89,0.8,0.06,5,143
113,0.19,0.95,0.92,0.01,9,145
114,0.17,0.49,0.44,0.03,5,155
115,0.2,0.53,0.5,0.01,12,148
116,0.18,0.43,0.4,0.02,4,153
117,0.21,0.84,0.82,0.01,7,141
118,0.18,0.32,0.29,0.02,4,147
119,0.18,0.49,0.46,0.02,8,146
120,0.17,0.93,0.91,0.01,8,148
121,0.18,0.42,0.4,0.01,4,142
122,0.17,0.75,0.71,0.02,6,147
123,0.17,1.2,1.17,0.01,10,152
124,0.18,1.01,0.96,0.03,7,151
125,0.19,1.97,1.95,0.01,13,154
126,0.21,0.28,0.26,0.01,6,152
127,0.21,0.43,0.41,0.01,6,148
128,0.19,0.2,0.16,0.02,3,155
129,0.23,0.66,0.64,0.01,9,139
130,0.23,0.35,0.33,0.01,4,135
131,0.22,0.46,0.43,0.01,4,137
132,0.2,0.62,0.59,0.02,7,142
133,0.19,0.56,0.52,0.03,8,147
134,0.24,0.81,0.77,0.02,12,127
135,0.26,0.83,0.82,0.01,11,128
136,0.29,0.23,0.2,0.01,3,125
137,0.29,0.41,0.39,0.01,7,122
138,0.27,0.21,0.19,0.01,3,124
139,0.26,0.46,0.43,0.02,5,129
140,0.26,0.55,0.51,0.03,7,132
141,0.26,0.47,0.45,0.01,12,136
142,0.25,0.54,0.49,0.03,6,136
143,0.21,1.4,1.36,0.02,14,141
144,0.21,0.47,0.45,0.01,12,144
145,0.17,0.23,0.21,0.01,5,147
146,0.18,0.3,0.28,0.01,6,138
147,0.18,0.23,0.2,0.02,4,137
148,0.19,0.63,0.6,0.01,8,133
149,0.2,0.11,0.1,0.01,1,129
150,0.2,0.29,0.25,0.02,5,127
151,0.19,0.36,0.33,0.02,7,132
152,0.18,0.36,0.34,0.01,7,130
153,0.16,0.22,0.18,0.03,5,138
154,0.18,0.61,0.59,0.01,9,130
155,0.19,0.15,0.12,0.02,4,125
156,0.18,0.02,0.0,0.01,0,125
157,0.2,0.14,0.11,0.02,3,119
