,z_0,z_1,z_2,connected
0,947.0,250.98060123599032,-533.2126950874621,1.0
1,947.0,250.98160938537978,-533.276288312456,0.0
2,947.0,250.72715346773418,-530.704909809974,1.0
3,947.0,250.98060123599032,-533.2126950874621,0.0
4,947.0,250.30889568597456,-529.1422927419869,1.0
5,947.0,250.72715346773418,-530.704909809974,0.0
6,947.0,249.83035714285722,-528.327380952381,1.0
7,947.0,250.30889568597456,-529.1422927419869,0.0
8,947.0,248.38578329882682,-526.9503105590062,1.0
9,947.0,249.83035714285722,-528.327380952381,0.0
10,947.0,245.6377965820476,-524.5125269620044,1.0
11,947.0,248.38578329882682,-526.9503105590062,0.0
12,947.0,245.3967449391847,-524.3487420106453,1.0
13,947.0,245.6377965820476,-524.5125269620044,0.0
14,947.0,242.1189434558073,-522.414328476037,1.0
15,947.0,245.3967449391847,-524.3487420106453,0.0
16,947.0,240.9642137276153,-521.7927689794069,1.0
17,947.0,242.1189434558073,-522.414328476037,0.0
18,947.0,238.38088422539658,-520.7388681840572,1.0
19,947.0,240.9642137276153,-521.7927689794069,0.0
20,947.0,237.2454098110411,-520.4107526623525,1.0
21,947.0,238.38088422539658,-520.7388681840572,0.0
22,947.0,232.82544590953694,-519.8356797799095,1.0
23,947.0,237.2454098110411,-520.4107526623525,0.0
24,947.0,230.97420036178983,-519.6954485819476,1.0
25,947.0,232.82544590953694,-519.8356797799095,0.0
26,947.0,230.78214984687293,-519.6893238781727,1.0
27,947.0,230.97420036178983,-519.6954485819476,0.0
28,947.0,229.88729693098207,-519.6878277514129,1.0
29,947.0,230.78214984687293,-519.6893238781727,0.0
30,930.0,340.9806012359903,-364.2126950874622,1.0
31,930.0,340.98160938537956,-364.27628831245624,0.0
32,930.0,340.7271534677342,-361.7049098099742,1.0
33,930.0,340.9806012359903,-364.2126950874622,0.0
34,930.0,340.30889568597456,-360.1422927419869,1.0
35,930.0,340.7271534677342,-361.7049098099742,0.0
36,930.0,339.830357142857,-359.32738095238096,1.0
37,930.0,340.30889568597456,-360.1422927419869,0.0
38,930.0,338.3857832988268,-357.9503105590064,1.0
39,930.0,339.830357142857,-359.32738095238096,0.0
40,930.0,335.6377965820474,-355.5125269620045,1.0
41,930.0,338.3857832988268,-357.9503105590064,0.0
42,930.0,335.3967449391845,-355.3487420106454,1.0
43,930.0,335.6377965820474,-355.5125269620045,0.0
44,930.0,332.1189434558074,-353.4143284760371,1.0
45,930.0,335.3967449391845,-355.3487420106454,0.0
46,930.0,330.9642137276154,-352.79276897940713,1.0
47,930.0,332.1189434558074,-353.4143284760371,0.0
48,930.0,328.38088422539624,-351.7388681840573,1.0
49,930.0,330.9642137276154,-352.79276897940713,0.0
50,930.0,327.2454098110412,-351.4107526623526,1.0
51,930.0,328.38088422539624,-351.7388681840573,0.0
52,930.0,322.8254459095368,-350.8356797799096,1.0
53,930.0,327.2454098110412,-351.4107526623526,0.0
54,930.0,320.9742003617895,-350.69544858194763,1.0
55,930.0,322.8254459095368,-350.8356797799096,0.0
56,930.0,320.7821498468728,-350.6893238781728,1.0
57,930.0,320.9742003617895,-350.69544858194763,0.0
58,930.0,319.88729693098196,-350.6878277514129,1.0
59,930.0,320.7821498468728,-350.6893238781728,0.0
60,922.0,480.9806012359903,-254.21269508746218,1.0
61,922.0,480.98160938537956,-254.27628831245624,0.0
62,922.0,480.7271534677342,-251.7049098099742,1.0
63,922.0,480.9806012359903,-254.21269508746218,0.0
64,922.0,480.30889568597456,-250.14229274198692,1.0
65,922.0,480.7271534677342,-251.7049098099742,0.0
66,922.0,479.830357142857,-249.32738095238096,1.0
67,922.0,480.30889568597456,-250.14229274198692,0.0
68,922.0,478.3857832988268,-247.95031055900643,1.0
69,922.0,479.830357142857,-249.32738095238096,0.0
70,922.0,475.6377965820474,-245.51252696200447,1.0
71,922.0,478.3857832988268,-247.95031055900643,0.0
72,922.0,475.3967449391845,-245.34874201064542,1.0
73,922.0,475.6377965820474,-245.51252696200447,0.0
74,922.0,472.1189434558074,-243.4143284760371,1.0
75,922.0,475.3967449391845,-245.34874201064542,0.0
76,922.0,470.9642137276154,-242.79276897940713,1.0
77,922.0,472.1189434558074,-243.4143284760371,0.0
78,922.0,468.38088422539624,-241.7388681840573,1.0
79,922.0,470.9642137276154,-242.79276897940713,0.0
80,922.0,467.2454098110412,-241.4107526623526,1.0
81,922.0,468.38088422539624,-241.7388681840573,0.0
82,922.0,462.8254459095368,-240.83567977990958,1.0
83,922.0,467.2454098110412,-241.4107526623526,0.0
84,922.0,460.9742003617895,-240.69544858194763,1.0
85,922.0,462.8254459095368,-240.83567977990958,0.0
86,922.0,460.7821498468728,-240.6893238781728,1.0
87,922.0,460.9742003617895,-240.69544858194763,0.0
88,922.0,459.88729693098196,-240.6878277514129,1.0
89,922.0,460.7821498468728,-240.6893238781728,0.0
90,909.0,220.98060123599032,-211.21269508746207,1.0
91,909.0,220.98160938537967,-211.27628831245613,0.0
92,909.0,220.72715346773407,-208.70490980997408,1.0
93,909.0,220.98060123599032,-211.21269508746207,0.0
94,909.0,220.30889568597456,-207.1422927419868,1.0
95,909.0,220.72715346773407,-208.70490980997408,0.0
96,909.0,219.83035714285722,-206.32738095238085,1.0
97,909.0,220.30889568597456,-207.1422927419868,0.0
98,909.0,218.3857832988267,-204.9503105590063,1.0
99,909.0,219.83035714285722,-206.32738095238085,0.0
100,909.0,215.63779658204749,-202.51252696200436,1.0
101,909.0,218.3857832988267,-204.9503105590063,0.0
102,909.0,215.39674493918483,-202.3487420106453,1.0
103,909.0,215.63779658204749,-202.51252696200436,0.0
104,909.0,212.1189434558073,-200.41432847603699,1.0
105,909.0,215.39674493918483,-202.3487420106453,0.0
106,909.0,210.9642137276153,-199.79276897940701,1.0
107,909.0,212.1189434558073,-200.41432847603699,0.0
108,909.0,208.38088422539658,-198.7388681840572,1.0
109,909.0,210.9642137276153,-199.79276897940701,0.0
