,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,0.0,0.06,0.04,0.02,2,2
1,0.0,0.12,0.11,0.01,3,5
2,0.0,0.2,0.17,0.03,5,16
3,0.0,0.33,0.31,0.01,13,14
4,0.0,0.24,0.21,0.03,5,22
5,0.0,0.3,0.29,0.01,10,22
6,0.0,0.21,0.2,0.01,5,25
7,0.0,0.19,0.17,0.02,5,32
8,0.0,0.39,0.37,0.01,9,35
9,0.0,0.2,0.18,0.02,5,42
10,0.0,0.36,0.35,0.01,9,45
11,0.0,0.21,0.19,0.02,5,31
12,0.0,0.18,0.16,0.01,3,35
13,0.0,0.23,0.21,0.01,6,38
14,0.0,0.33,0.32,0.01,5,41
15,0.12,0.33,0.32,0.01,5,34
16,0.13,0.08,0.06,0.01,3,31
17,0.1,0.05,0.04,0.01,2,29
18,0.12,0.08,0.05,0.02,2,26
19,0.11,0.12,0.1,0.01,3,27
20,0.13,0.3,0.26,0.03,5,23
21,0.19,0.47,0.46,0.01,13,21
22,0.17,0.24,0.23,0.01,5,24
23,0.03,0.31,0.28,0.02,5,31
24,0.0,0.41,0.38,0.02,10,35
25,0.04,0.35,0.33,0.01,9,24
26,0.04,0.23,0.22,0.01,3,27
27,0.0,0.31,0.28,0.02,5,34
28,0.0,0.41,0.39,0.01,9,37
29,0.0,0.36,0.34,0.02,5,35
30,0.0,0.16,0.14,0.01,3,37
31,0.0,0.21,0.2,0.01,6,40
32,0.0,0.27,0.25,0.01,5,43
33,0.11,0.24,0.22,0.01,5,36
34,0.12,0.19,0.14,0.03,2,34
35,0.1,0.13,0.12,0.01,3,31
36,0.09,0.03,0.02,0.01,1,32
37,0.12,0.15,0.1,0.03,3,26
38,0.31,0.46,0.44,0.02,13,13
39,0.05,0.26,0.22,0.03,3,20
40,0.1,0.44,0.43,0.01,10,20
41,0.09,0.3,0.29,0.01,5,23
42,0.0,0.41,0.38,0.02,5,30
43,0.0,0.43,0.41,0.01,9,28
44,0.0,0.19,0.17,0.01,3,29
45,0.0,0.24,0.22,0.02,5,36
46,0.0,0.34,0.31,0.02,9,31
47,0.17,0.14,0.13,0.01,3,24
48,0.18,0.05,0.04,0.01,2,22
49,0.16,0.1,0.08,0.01,3,19
50,0.16,0.07,0.05,0.01,2,19
51,0.14,0.12,0.1,0.01,2,22
52,0.14,0.34,0.3,0.03,6,21
53,0.2,0.36,0.35,0.01,13,20
54,0.22,0.4,0.38,0.01,6,18
55,0.0,0.19,0.16,0.02,3,24
56,0.0,0.37,0.34,0.02,10,28
57,0.0,0.33,0.31,0.02,9,25
58,0.0,0.18,0.16,0.01,3,29
59,0.0,0.25,0.23,0.02,6,26
60,0.22,0.23,0.22,0.01,3,18
61,0.25,0.05,0.04,0.01,2,16
62,0.23,0.09,0.07,0.01,3,13
63,0.23,0.07,0.05,0.01,2,13
64,0.06,0.11,0.06,0.05,2,18
65,0.0,0.34,0.31,0.02,13,21
66,0.0,0.27,0.25,0.02,10,19
67,0.0,0.13,0.1,0.03,3,15
68,0.25,0.11,0.08,0.02,3,8
69,0.33,0.07,0.06,0.02,2,6
70,0.67,0.09,0.07,0.01,3,3
71,0.33,0.07,0.06,0.01,2,3
72,0.25,0.03,0.02,0.01,1,4
73,0.0,0.23,0.19,0.03,4,12
74,0.17,0.29,0.27,0.01,13,6
75,0.25,0.04,0.03,0.01,2,4
76,1.0,0.09,0.07,0.01,3,1
77,0.0,0.06,0.05,0.01,2,1
