,connected,z_0,z_1,z_2
0,0,700.0,382.72864045352435,-3.2949067647157335
1,0,642.0,575.3895850284437,-32.70664658255919
2,0,601.0,490.9315481894532,122.7635979650097
3,0,529.0,514.8667394121599,254.96790510523965
4,0,506.0,800.9108580162601,27.985357468687653
5,0,434.0,819.6904303180258,123.53975948075845
6,0,400.0,859.1312429558006,36.12445095988073
7,0,396.0,302.50895205967186,455.18664439460804
8,0,376.0,879.5763689340438,74.83177360985997
9,0,363.0,544.3367924373313,368.11000811245253
10,0,360.0,621.1123674907819,300.76964769770484
11,0,230.0,921.9098265816726,186.92015872865068
12,0,229.0,245.20501852439634,694.0121161621385
13,0,155.0,438.3363360649562,653.1805543043865
14,0,83.0,663.2921022128369,524.0731502434521
15,0,61.0,589.5002044259775,634.0896145633278
16,0,18.0,579.9725393921351,642.4578356435679
17,0,4.0,-11.06700545327817,912.2124583607228
18,0,0.0,554.0966570925445,717.4650341306894
19,0,-45.0,542.9517216105155,747.3162943237317
20,0,-181.0,424.5399567245297,874.6808098925192
21,0,-439.0,765.0931982144821,771.6199929660852
0,1,950.0,-51.76725667390929,-189.80107114684677
1,1,950.0,-53.39644881225104,-188.22130109731097
2,1,950.0,-61.289311139028314,-180.59102805695147
3,1,950.0,-61.87501571472626,-180.1046524106987
4,1,950.0,-64.05599142263645,-178.42021041345572
5,1,950.0,-64.20054110301771,-178.31737773152963
6,1,950.0,-64.97452752670506,-177.90879211175024
7,0,950.0,-67.17927724449464,-177.7498588368153
8,1,938.0,75.23274332609071,-127.80107114684677
9,1,938.0,73.60355118774896,-126.22130109731097
10,1,938.0,65.71068886097169,-118.59102805695147
11,1,938.0,65.12498428527397,-118.10465241069869
12,1,938.0,62.94400857736355,-116.42021041345572
13,1,938.0,62.79945889698229,-116.31737773152963
14,1,938.0,62.02547247329494,-115.90879211175024
15,1,938.0,59.63906069462405,-115.73676340651127
16,0,938.0,57.121897810219025,-115.7211678832117
17,1,937.0,147.2327433260907,-273.80107114684677
18,1,937.0,145.60355118774896,-272.22130109731097
19,1,937.0,137.7106888609717,-264.5910280569515
20,1,937.0,137.12498428527397,-264.1046524106987
21,1,937.0,134.94400857736355,-262.4202104134557
22,1,937.0,134.7994588969823,-262.31737773152963
23,1,937.0,134.02547247329494,-261.90879211175024
24,1,937.0,131.63906069462405,-261.7367634065113
25,0,937.0,129.12189781021902,-261.7211678832117
26,1,874.0,209.9110311370448,-237.00369927115776
27,1,874.0,208.33084500493442,-235.2715979384476
28,1,874.0,206.7689514584797,-234.15538501380547
29,1,874.0,206.42921377900666,-233.91259024096223
30,1,874.0,204.03205948163918,-232.29846239803032
31,1,874.0,203.4874081433136,-231.96261191315466
32,1,874.0,202.33074972868462,-231.32976549330442
33,1,874.0,197.62358369518643,-228.79334777160864
34,1,874.0,194.51914735623768,-227.14001343116956
35,1,874.0,192.89742065967562,-226.37706764201812
36,1,874.0,188.18041126257276,-224.81952256484908
37,1,874.0,188.0795983273456,-224.79551210318618
38,1,874.0,188.0387072656838,-224.7925643988309
39,0,874.0,181.49667475984393,-224.7520320912064
40,1,873.0,281.9110311370448,-383.00369927115776
41,1,873.0,280.3308450049344,-381.2715979384476
42,1,873.0,278.42921377900643,-379.91259024096246
43,1,873.0,276.0204064545592,-378.2909198639377
44,1,873.0,275.4874081433136,-377.96261191315466
45,1,873.0,274.3307497286846,-377.3297654933044
46,1,873.0,269.6235836951864,-374.79334777160864
47,1,873.0,266.5191473562377,-373.1400134311697
48,1,873.0,264.8974206596756,-372.377067642018
49,1,873.0,260.18041126257276,-370.8195225648492
50,1,873.0,260.0795983273456,-370.7955121031862
51,1,873.0,260.03870726568334,-370.792564398831
52,0,873.0,256.55085177429396,-370.77095477955754
53,1,861.0,408.9110311370448,-321.00369927115776
54,1,861.0,407.3308450049344,-319.2715979384476
55,1,861.0,405.97369038722945,-318.3017024366327
56,1,861.0,405.42921377900666,-317.91259024096234
57,1,861.0,403.0320594816392,-316.29846239803044
58,1,861.0,402.4874081433136,-315.96261191315466
59,1,861.0,401.3307497286846,-315.3297654933044
60,1,861.0,396.6235836951862,-312.79334777160864
61,1,861.0,393.5191473562377,-311.1400134311697
62,1,861.0,391.8974206596756,-310.377067642018
63,1,861.0,387.18041126257276,-308.8195225648492
64,1,861.0,387.0795983273456,-308.7955121031862
65,1,861.0,387.03870726568334,-308.7925643988309
