,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
0,1.0,0.09,0.03,0.05,2,15
1,1.58,0.65,0.6,0.05,16,26
2,4.0,0.39,0.36,0.02,15,6
3,4.0,0.42,0.38,0.04,6,15
4,4.27,1.66,1.65,0.01,10,15
5,4.33,0.22,0.21,0.01,1,15
6,4.4,0.16,0.15,0.01,1,15
7,4.47,0.15,0.14,0.01,1,15
8,4.53,0.25,0.24,0.01,1,15
9,4.6,0.07,0.06,0.01,1,15
10,4.86,0.28,0.23,0.05,2,28
11,4.92,1.03,0.98,0.04,15,39
12,5.03,1.83,1.81,0.01,14,39
13,5.05,0.24,0.22,0.01,1,39
14,5.08,0.25,0.23,0.01,1,39
15,5.1,0.16,0.15,0.01,1,39
16,5.13,0.18,0.16,0.01,1,39
17,5.38,0.5,0.44,0.05,2,52
18,5.71,1.86,1.82,0.02,15,51
19,6.05,0.88,0.85,0.02,9,57
20,6.09,1.66,1.65,0.01,7,57
21,6.11,0.35,0.34,0.01,1,57
22,6.5,0.47,0.41,0.05,2,56
23,6.55,2.5,2.49,0.01,15,56
24,6.71,0.33,0.31,0.01,3,56
25,6.75,0.43,0.41,0.01,3,56
26,6.77,0.21,0.19,0.01,1,56
27,6.81,0.34,0.32,0.01,2,57
28,6.82,0.28,0.26,0.01,3,57
29,6.84,0.1,0.09,0.01,1,57
30,6.8,0.38,0.36,0.02,2,61
31,6.82,0.37,0.36,0.01,5,61
32,6.84,0.29,0.27,0.01,2,58
33,7.02,1.02,1.0,0.01,4,55
34,7.04,0.62,0.6,0.01,3,55
35,7.25,0.39,0.36,0.02,2,56
36,7.29,0.85,0.82,0.02,5,56
37,7.3,0.19,0.17,0.01,1,56
38,7.32,0.27,0.26,0.01,1,56
39,7.34,0.29,0.27,0.01,1,56
40,7.36,0.26,0.25,0.01,1,56
41,7.4,0.34,0.3,0.02,2,60
42,7.45,0.8,0.79,0.01,7,60
43,7.47,0.27,0.25,0.01,1,60
44,7.48,0.23,0.21,0.01,1,60
45,7.53,0.26,0.25,0.01,1,59
46,7.64,0.23,0.21,0.01,2,59
47,7.66,0.47,0.45,0.01,3,59
48,7.68,0.35,0.33,0.01,1,59
49,7.72,0.45,0.43,0.01,2,60
50,7.73,0.18,0.17,0.01,3,60
51,7.75,0.29,0.28,0.01,1,60
52,7.72,0.41,0.39,0.02,2,64
53,7.73,0.63,0.61,0.01,5,64
54,7.74,0.32,0.31,0.01,1,62
55,7.9,0.61,0.59,0.01,3,62
56,7.94,0.88,0.86,0.01,4,62
57,7.95,0.29,0.27,0.01,1,62
58,8.32,0.44,0.42,0.01,2,56
59,8.73,0.71,0.68,0.02,4,55
60,8.78,0.93,0.91,0.01,6,55
61,8.8,0.21,0.2,0.01,1,55
62,8.82,0.19,0.17,0.01,1,55
63,8.84,0.3,0.29,0.01,1,55
64,8.85,0.23,0.21,0.01,1,55
65,8.8,0.44,0.41,0.02,2,60
66,8.85,0.84,0.82,0.01,6,60
67,8.87,0.28,0.27,0.01,1,60
68,8.88,0.17,0.16,0.01,1,60
69,8.9,0.18,0.17,0.01,1,60
70,9.79,0.11,0.09,0.01,1,29
71,11.23,0.87,0.82,0.04,3,30
72,11.47,2.1,2.08,0.01,11,30
73,11.5,0.25,0.23,0.01,1,30
74,11.53,0.22,0.21,0.01,1,30
75,11.57,0.27,0.26,0.01,1,30
76,11.6,0.23,0.22,0.01,1,30
77,11.63,0.16,0.14,0.01,1,30
78,11.67,0.21,0.2,0.01,1,30
79,11.7,0.35,0.33,0.01,1,30
80,11.73,0.3,0.28,0.01,1,30
81,11.77,0.44,0.43,0.01,1,30
82,11.8,0.12,0.11,0.01,1,30
83,11.83,0.1,0.08,0.01,1,30
84,11.87,0.26,0.25,0.01,1,30
85,12.53,0.36,0.35,0.01,2,32
86,12.62,0.76,0.74,0.01,3,32
87,12.66,0.15,0.14,0.01,1,32
88,14.31,0.37,0.34,0.02,2,36
89,14.36,1.38,1.36,0.01,6,36
90,14.39,0.29,0.28,0.01,1,36
91,14.42,0.06,0.05,0.01,1,36
92,19.93,0.27,0.23,0.02,2,15
