,z_0,z_1,z_2,connected
0,1723.0,-276.0,-732.241657919747,0.0
1,1721.0,-95.0,-476.7249997805102,0.0
2,1717.0,-192.0,-458.241657919747,0.0
3,1697.0,-354.0,-448.241657919747,0.0
4,1692.0,13.0,-697.241657919747,0.0
5,1688.0,-154.0,-266.9787744451919,0.0
6,1684.0,21.0,-640.241657919747,0.0
7,1668.0,-316.0,-256.9787744451919,0.0
8,1665.0,68.0,-794.3958046923347,0.0
9,1664.0,-101.0,-458.9787744451919,0.0
10,1664.0,-413.0,-238.6039864616223,0.0
11,1663.0,51.0,-505.9787744451919,0.0
12,1659.0,-46.0,-487.60398646162207,0.0
13,1657.0,76.0,-737.3958046923347,0.0
14,1657.0,20.0,-391.5088669015538,0.0
15,1655.0,59.0,-448.9787744451919,0.0
16,1653.0,-152.0,-259.7249997805102,0.0
17,1638.0,-103.0,-219.44363638340792,0.0
18,1630.0,75.0,-488.31204470045077,0.0
19,1628.0,184.0,-958.0471096753627,0.0
20,1628.0,58.0,-200.5951092545945,0.0
21,1627.0,-185.0,-171.97877444519213,0.0
22,1626.0,167.0,-669.6039864616221,0.0
23,1624.0,-39.0,-182.14814514442082,0.0
24,1623.0,-282.0,-153.60398646162207,0.0
25,1621.0,-322.0,-104.9787744451919,0.0
26,1620.0,61.0,-441.7249997805102,0.0
27,1616.0,-444.0,-52.9787744451919,0.0
28,1613.0,102.0,-458.4436363834077,0.0
29,1605.0,110.0,-401.54981293279684,0.0
30,1605.0,-251.0,-91.9787744451919,0.0
31,1601.0,183.0,-708.8756508718864,0.0
32,1600.0,-373.0,-39.9787744451919,0.0
33,1599.0,222.0,-767.0842561669742,0.0
34,1599.0,166.0,-421.1481451444208,0.0
35,1593.0,191.0,-651.8756508718864,0.0
36,1593.0,60.0,-192.98215680075828,0.0
37,1592.0,224.0,-459.6999597646427,0.0
38,1592.0,-183.0,-164.7249997805102,0.0
39,1591.0,174.0,-364.1481451444206,0.0
40,1590.0,-202.0,-51.47979893205661,0.0
41,1589.0,-37.0,-174.5088669015538,0.0
42,1585.0,-324.0,0.5202010679431623,0.0
43,1584.0,232.0,-402.6999597646427,0.0
44,1578.0,109.0,-152.98215680075805,0.0
45,1577.0,-134.0,-124.44363638340769,0.0
46,1576.0,-70.0,3.4048907454052824,0.0
47,1575.0,-313.0,32.02122555480764,0.0
48,1574.0,12.0,-134.5088669015538,0.0
49,1570.0,255.0,-647.7249997805097,0.0
50,1562.0,263.0,-590.7249997805102,0.0
51,1560.0,1.0,16.404890745405282,0.0
52,1559.0,165.0,-249.93609094669273,0.0
53,1559.0,-242.0,45.02122555480764,0.0
54,1557.0,231.0,-153.98215680075828,0.0
55,1555.0,340.0,-623.0095974386186,0.0
56,1554.0,239.0,-507.7249997805102,0.0
57,1553.0,134.0,-135.5088669015538,0.0
58,1551.0,-572.0,60.3960135383777,0.0
59,1547.0,256.0,-430.4797989320566,0.0
60,1545.0,50.0,56.40489074540574,0.0
61,1544.0,-193.0,85.52020106794316,0.0
62,1535.0,262.0,-341.98215680075805,0.0
63,1533.0,371.0,-811.2416579197472,0.0
64,1533.0,-541.0,122.02122555480764,0.0
65,1528.0,395.0,-720.3705214019581,0.0
66,1528.0,339.0,-374.50886690155403,0.0
67,1526.0,378.0,-431.9360909466925,0.0
68,1525.0,-112.0,66.40489074540574,0.0
69,1524.0,172.0,30.555844326232545,0.0
70,1524.0,-355.0,95.52020106794316,0.0
71,1523.0,-71.0,84.06390905330727,0.0
72,1520.0,347.0,-317.50886690155403,0.0
73,1520.0,255.0,-182.59510925459472,0.0
74,1520.0,-452.0,113.95717973216915,0.0
75,1518.0,-492.0,162.52020106794316,0.0
76,1515.0,-101.0,98.40489074540528,0.0
77,1512.0,263.0,-125.59510925459472,0.0
78,1511.0,-198.0,116.8518548555794,0.0
79,1510.0,52.0,64.01784319924127,0.0
80,1506.0,426.0,-908.3958046923347,0.0
81,1505.0,103.0,50.017843199241725,0.0
82,1504.0,409.0,-619.9787744451919,0.0
83,1504.0,10.0,65.40489074540574,0.0
84,1502.0,-421.0,175.52020106794316,0.0
85,1501.0,394.0,-471.3120447004196,0.0
86,1499.0,377.0,-183.5951092545945,0.0
87,1499.0,-30.0,111.40489074540528,0.0
