,z_0,z_1,z_2,connected
0,2371.0,-434.6075137209227,-379.825932854892,0
1,1750.0,1593.007595882821,524.0852876484628,0
2,524.0,2469.3234260866057,82.03830564320197,0
3,410.0,1692.4630140443796,1284.6142885293802,0
0,2496.0,-2088.3703140835396,-1504.0622654566882,1
1,2496.0,-2088.453573343203,-1503.5047617165894,1
2,2496.0,-2088.5667561433775,-1502.9468481675995,1
3,2496.0,-2088.7418016781876,-1502.491823266646,1
4,2496.0,-2090.1121869736107,-1499.277589143388,1
5,2496.0,-2090.245739795597,-1499.0204516942183,1
6,2496.0,-2090.4542736509484,-1498.665254602373,1
7,2496.0,-2091.0972195087743,-1497.630366406104,1
8,2496.0,-2092.288500596992,-1495.7825383900054,1
9,2496.0,-2092.49855139055,-1495.4695223417812,1
10,2496.0,-2093.4779840148653,-1494.0874675043572,1
11,2496.0,-2095.082319588535,-1491.836360865647,1
12,2496.0,-2095.9380878385136,-1490.7550733835856,1
13,2496.0,-2098.407101002802,-1487.8450529886707,1
14,2496.0,-2103.2144168880714,-1483.5270351663871,1
15,2496.0,-2108.7639567563856,-1478.8073780796867,1
16,2496.0,-2111.2370675635543,-1476.8351874512978,1
17,2496.0,-2111.762008937076,-1476.4406804694481,1
18,2496.0,-2112.164605966128,-1476.141299331897,1
19,2496.0,-2112.350015542803,-1476.0130829156985,1
20,2496.0,-2116.01677812653,-1473.9511859704858,1
21,2496.0,-2116.3436200237647,-1473.7720435660253,1
22,2496.0,-2116.7410747879494,-1473.5735814064735,1
23,2496.0,-2121.4725222652787,-1471.6062387341103,1
24,2496.0,-2123.4497575380587,-1470.9059020792222,1
25,2496.0,-2124.512515655029,-1470.5753469900776,1
26,2496.0,-2124.6751144977356,-1470.5260065927657,1
27,2496.0,-2125.3849602494097,-1470.3179413408725,1
28,2496.0,-2129.3484123864896,-1469.2136664590862,1
29,2496.0,-2132.280699072543,-1468.5105593807561,1
30,2496.0,-2132.8445745978306,-1468.418129067,1
31,2496.0,-2133.930586628754,-1468.3068366351615,1
32,2496.0,-2134.3271127359963,-1468.3032220723974,0
33,2487.0,-1929.3703140835394,-1350.0622654566882,1
34,2487.0,-1929.453573343203,-1349.5047617165894,1
35,2487.0,-1929.5667561433775,-1348.9468481675995,1
36,2487.0,-1929.7418016781876,-1348.491823266646,1
37,2487.0,-1931.1121869736107,-1345.277589143388,1
38,2487.0,-1931.2457397955968,-1345.0204516942183,1
39,2487.0,-1931.4542736509484,-1344.665254602373,1
40,2487.0,-1932.0972195087743,-1343.630366406104,1
41,2487.0,-1933.288500596992,-1341.7825383900054,1
42,2487.0,-1933.49855139055,-1341.4695223417812,1
43,2487.0,-1934.4779840148656,-1340.0874675043572,1
44,2487.0,-1936.082319588535,-1337.836360865647,1
45,2487.0,-1936.9380878385136,-1336.7550733835856,1
46,2487.0,-1939.4071010028017,-1333.8450529886707,1
47,2487.0,-1944.2144168880716,-1329.5270351663871,1
48,2487.0,-1949.7639567563856,-1324.8073780796867,1
49,2487.0,-1952.2370675635543,-1322.8351874512978,1
50,2487.0,-1952.7620089370764,-1322.4406804694481,1
51,2487.0,-1953.164605966128,-1322.141299331897,1
52,2487.0,-1953.3500155428026,-1322.0130829156985,1
53,2487.0,-1957.01677812653,-1319.9511859704858,1
54,2487.0,-1957.343620023765,-1319.7720435660253,1
55,2487.0,-1957.741074787949,-1319.5735814064735,1
56,2487.0,-1962.4725222652785,-1317.6062387341103,1
57,2487.0,-1964.4497575380587,-1316.9059020792222,1
58,2487.0,-1965.5125156550291,-1316.5753469900776,1
59,2487.0,-1966.38496024941,-1316.3179413408725,1
60,2487.0,-1970.3484123864896,-1315.2136664590862,1
61,2487.0,-1973.280699072543,-1314.5105593807561,1
62,2487.0,-1973.8445745978306,-1314.418129067,1
63,2487.0,-1974.930586628754,-1314.3068366351615,1
64,2487.0,-1975.3271127359963,-1314.3032220723974,0
65,2481.0,-1734.3703140835394,-1416.0622654566882,1
66,2481.0,-1734.453573343203,-1415.5047617165894,1
67,2481.0,-1734.5667561433775,-1414.9468481675995,1
68,2481.0,-1734.7418016781876,-1414.491823266646,1
69,2481.0,-1736.1121869736107,-1411.277589143388,1
70,2481.0,-1736.2457397955968,-1411.0204516942183,1
71,2481.0,-1736.4542736509484,-1410.665254602373,1
72,2481.0,-1737.0972195087743,-1409.630366406104,1
73,2481.0,-1738.288500596992,-1407.7825383900054,1
74,2481.0,-1738.49855139055,-1407.4695223417812,1
75,2481.0,-1739.4779840148656,-1406.0874675043572,1
76,2481.0,-1741.082319588535,-1403.836360865647,1
77,2481.0,-1741.9380878385136,-1402.7550733835856,1
78,2481.0,-1744.4071010028017,-1399.8450529886707,1
79,2481.0,-1749.2144168880716,-1395.5270351663871,1
80,2481.0,-1754.7639567563856,-1390.8073780796867,1
81,2481.0,-1757.2370675635543,-1388.8351874512978,1
82,2481.0,-1758.164605966128,-1388.141299331897,1
83,2481.0,-1758.3500155428026,-1388.0130829156985,1
84,2481.0,-1762.01677812653,-1385.9511859704858,1
85,2481.0,-1762.343620023765,-1385.7720435660253,1
86,2481.0,-1762.741074787949,-1385.5735814064735,1
87,2481.0,-1767.4725222652785,-1383.6062387341103,1
88,2481.0,-1769.4497575380587,-1382.9059020792222,1
89,2481.0,-1770.5125156550291,-1382.5753469900776,1
90,2481.0,-1771.38496024941,-1382.3179413408725,1
91,2481.0,-1775.3484123864896,-1381.2136664590862,1
92,2481.0,-1778.280699072543,-1380.5105593807561,1
93,2481.0,-1778.8445745978306,-1380.418129067,1
94,2481.0,-1779.930586628754,-1380.3068366351615,1
95,2481.0,-1780.3271127359963,-1380.3032220723974,0
96,2478.0,-1770.3703140835394,-1196.062265456688,1
97,2478.0,-1770.4415804780033,-1195.5850659041407,1
98,2478.0,-1770.4942832049549,-1195.366904077886,1
99,2478.0,-1771.0221636484907,-1193.8469248047036,1
100,2478.0,-1771.5222804609602,-1192.6612128941867,1
101,2478.0,-1772.1121869736107,-1191.277589143388,1
102,2478.0,-1772.2457397955968,-1191.0204516942183,1
103,2478.0,-1772.2959941425265,-1190.9348531334858,1
104,2478.0,-1772.7456757462994,-1190.2078293052427,1
105,2478.0,-1772.9773120219988,-1189.8402184209378,1
106,2478.0,-1774.658502655002,-1187.3674372240773,1
107,2478.0,-1776.7426099640973,-1184.3141877437263,1
108,2478.0,-1777.082319588535,-1183.836360865647,1
109,2478.0,-1777.9380878385136,-1182.7550733835856,1
110,2478.0,-1780.4071010028017,-1179.8450529886707,1
111,2478.0,-1785.2144168880716,-1175.5270351663871,1
112,2478.0,-1790.7639567563856,-1170.8073780796867,1
113,2478.0,-1793.2370675635543,-1168.8351874512978,1
114,2478.0,-1794.164605966128,-1168.141299331897,1
115,2478.0,-1794.3500155428026,-1168.0130829156985,1
116,2478.0,-1797.4675574588284,-1166.2598158439096,1
117,2478.0,-1798.2269782987698,-1165.8359750241793,1
118,2478.0,-1798.343620023765,-1165.7720435660253,1
